Qty,Value,Parts,Description,R
6,,"X2, X3, X14, X15, X16, X17",JST XH Connector 2 Pin,JST XH2P ST
3,,"X4, X5, X13",JST XH Connector 2 Pin,JST XH3P ST
7,,"X6, X7, X8, X9, X10, X11, X12",JST XH Connector 2 Pin,JST XH4P ST
4,,"J5, J6, J7, J8","Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON","FS-PW-6,35"
4, ,"J1, J2, J3, J4","Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON","FS-PW-6,35"
4,100n,"C10, C11, C12, C13","CAPACITOR, European symbol",MKS2-63 100N
15,100n,"C1, C3, C6, C8, C9, C14, C15, C16, C17, C22, C23, C24, C25, C26, C27","CAPACITOR, European symbol",MKS2-63 100N
1,100n,C7,"CAPACITOR, European symbol",MKS2-63 100N
1,100n,C5,"CAPACITOR, European symbol",MKS2-63 100N
1,10k,R1,"RESISTOR, European symbol","METALL 10,0K"
1,10k,R2,"RESISTOR, European symbol","METALL 10,0K"
4,10n,"C18, C19, C20, C21","CAPACITOR, European symbol",MKS2-63 10N
1,"12V in, 5V out",DC1,DC-DC CONVERTER,MEV1S1205SC
3,1k,"R6, R8, R9","RESISTOR, European symbol","METALL 1,00K"
1,1x10,JP3,PIN HEADER,MPE 087-1-010
1,1x4,JP2,PIN HEADER,MPE 087-1-004
1,1x6,JP1,PIN HEADER,MPE 087-1-006
1,20MHz,X1,CRYSTALS CAN NOT GROUNDED,"20,0000-HC49U-S"
2,22p,"C2, C4","CAPACITOR, European symbol",KERKO 22p
1,330R,R7,"RESISTOR, European symbol",METALL 330
2,330R,"R3, R4","RESISTOR, European symbol",METALL 330
1,330R,R5,"RESISTOR, European symbol",METALL 330
1,"5V in, +-5V out",DC2,DC-DC CONVERTER,MEA1D0505SC
8,68R,"R10, R11, R12, R13, R14, R15, R16, R17","RESISTOR, European symbol","METALL 68,0"
4,6N137,"OK1, OK2, OK3, OK4",MOTOROLA OPTO COUPLER,6N 137
1,Atmega1284P,IC1,Dual In Line,ATMEGA 1284-P-PU
1,Attiny861A,IC2,Dual In Line / Socket,ATTINY 861A-PU
4,HCPL-7840,"IC4, IC5, IC6, IC7",Isolation Amplifer,
1,MAX 485 CPA,IC3,"+5V, Fail-Safe, 40Mbps, Profibus RS-485/RS-422 Transceivers",MAX 485 CPA
4,MPC3201,"IC8, IC9, IC10, IC11",Dual In Line / Socket,MPC 3201-CI/P
