Qty,Value,Parts,Description,R
2,,"X2, X3",JST XH Connector 2 Pin,JST XH2P ST
7,,"X4, X7, X8, X9, X10, X11, X12",JST XH Connector 2 Pin,JST XH4P ST
2, ,"J1, J2","Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON","FS-PW-6,35"
5,100n,"C1, C4, C7, C8, C9","CAPACITOR, European symbol",MKS02-63 100N
2,100n,"C5, C6","CAPACITOR, European symbol",MKS2-63 100N
1,10k,R2,"RESISTOR, European symbol","METALL 10,0K"
2,10k,"R1, R3","RESISTOR, European symbol","METALL 10,0K"
1,"12V in, 5V out",DC1,DC-DC CONVERTER,MEV1S1205SC
1,1x10,JP4,PIN HEADER,MPE 087-1-010
2,1x2,"JP2, JP5",PIN HEADER,MPE 087-1-002
1,1x4,JP3,PIN HEADER,MPE 087-1-004
1,1x6,JP1,PIN HEADER,MPE 087-1-006
1,20MHz,X1,CRYSTALS CAN NOT GROUNDED,"20,0000-HC49U-S"
2,22p,"C2, C3","CAPACITOR, European symbol",KERKO 22p
1,Atmega1284P,IC1,Dual In Line,ATMEGA 1284-P-PU
1,Attiny861A,IC2,Dual In Line / Socket,ATTINY 861A-PU
1,JST-XH-02-PIN-LONG-PAD,X6,JST XH Connector 2 Pin,JST XH2P ST
1,JST-XH-07-PIN-LONG-PAD,X13,JST XH Connector 2 Pin,JST XH7P ST
1,JST-XH-10-PIN-LONG-PAD,X5,JST XH Connector 2 Pin,JST XH10P ST
